Price,Close,High,Low,Open,Volume,MA20,MA50,MA120,RSI,MACD,MACD_Signal,MACD_Histogram,MA_Signal,MA20_prev,MA50_prev,Filtered_Signal,Equity
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,
2020-04-29,8801.0380859375,8871.75390625,7786.04931640625,7806.71240234375,60201052203,7259.946875,6700.98712890625,8003.629947916666,86.53192950218416,311.2044557988029,169.78181489212773,141.42264090667516,0,7184.999438476562,6683.16095703125,0,100000
2020-04-30,8658.5537109375,9440.650390625,8533.255859375,8797.669921875,66964629541,7349.59990234375,6715.929599609375,8015.7831095377605,79.39307067046299,369.56717780063263,209.7388874739038,159.82829032672885,0,7259.946875,6700.98712890625,0,100000
2020-05-01,8864.7666015625,9048.0234375,8667.763671875,8672.7822265625,44068389997,7449.88408203125,6793.809169921875,8031.443912760416,81.48921697908494,427.53001958923596,253.29711389703564,174.23290569220032,0,7349.59990234375,6715.929599609375,0,100000
2020-05-02,8988.5966796875,9007.1875,8811.3662109375,8869.0576171875,40134388683,7550.759326171875,6862.306962890625,8045.141516113281,81.23766776944447,477.947738468667,298.22723881141593,179.72049965725108,0,7449.88408203125,6793.809169921875,0,100000
2020-05-03,8897.46875,9167.78125,8830.9716796875,8983.6142578125,47101785174,7653.380883789063,6936.249013671875,8057.5316162109375,80.57206482049561,504.7330284551699,339.52839674020646,165.20463171496345,0,7550.759326171875,6862.306962890625,0,100000
2020-05-04,8912.654296875,8956.90625,8645.0244140625,8895.7451171875,45718796276,7756.8922119140625,7006.65580078125,8070.042757161458,90.59457809063221,521.1779444913473,375.85830629046256,145.3196382008847,0,7653.380883789063,6936.249013671875,0,100000
2020-05-05,9003.0703125,9062.4150390625,8856.8271484375,8912.83203125,43148462663,7874.940234375,7086.427607421875,8080.324849446614,90.98012126851954,535.334985279911,407.75364208837186,127.58134319153919,0,7756.8922119140625,7006.65580078125,0,100000
2020-05-06,9268.76171875,9411.4677734375,8966.7060546875,9007.44140625,49371886931,7982.538110351563,7167.29025390625,8089.5337605794275,91.07934187030685,561.5195761038085,438.5068288914743,123.0127472123342,0,7874.940234375,7086.427607421875,0,100000
