timestamp,action,price,capital,reason,entry_price,pnl,pnl_ratio
2023-12-22 07:00:00,OPEN_LONG,43580.9921875,100000.0,MA120/360 Golden Cross,,,
2023-12-26 17:00:00,CLOSE_LONG,42021.19140625,96420.91493800964,Stop Loss,43580.9921875,-3579.085061990364,-0.03579085061990364
2023-12-29 21:00:00,OPEN_SHORT,41923.78125,96420.91493800964,MA120/360 Death Cross,,,
2024-01-01 19:00:00,CLOSE_SHORT,43529.83984375,92727.1250546501,Stop Loss,41923.78125,-3693.789883359534,-0.0383090109208601
2024-01-03 10:00:00,OPEN_LONG,45170.87890625,92727.1250546501,MA120/360 Golden Cross,,,
2024-01-03 11:00:00,CLOSE_LONG,43697.19921875,89701.94414203335,Stop Loss,45170.87890625,-3025.1809126167523,-0.03262455199418528
2024-01-15 11:00:00,OPEN_SHORT,42678.52734375,89701.94414203335,MA120/360 Death Cross,,,
2024-01-30 00:00:00,CLOSE_SHORT,43186.1796875,88634.95788414637,Signal Reversal,42678.52734375,-1066.9862578869765,-0.011894795236517047
2024-01-30 00:00:00,OPEN_LONG,43186.1796875,88634.95788414637,MA120/360 Golden Cross,,,
2024-02-09 17:00:00,CLOSE_LONG,47601.5234375,97696.97286572517,Take Profit,43186.1796875,9062.014981578795,0.10223973923949556
2024-03-19 01:00:00,OPEN_SHORT,65906.53125,97696.97286572517,MA120/360 Death Cross,,,
2024-03-25 13:00:00,CLOSE_SHORT,67954.515625,94661.12998158303,Stop Loss,65906.53125,-3035.8428841421405,-0.031074073178445422
2024-03-27 22:00:00,OPEN_LONG,69395.171875,94661.12998158303,MA120/360 Golden Cross,,,
2024-04-02 02:00:00,CLOSE_LONG,67036.9375,91444.29047146527,Stop Loss,69395.171875,-3216.839510117752,-0.03398268656568552
2024-04-04 19:00:00,OPEN_SHORT,68457.765625,91444.29047146527,MA120/360 Death Cross,,,
2024-04-08 07:00:00,CLOSE_SHORT,70700.390625,88448.64417704869,Stop Loss,68457.765625,-2995.6462944165773,-0.032759249144716736
2024-04-09 11:00:00,OPEN_LONG,70765.8125,88448.64417704869,MA120/360 Golden Cross,,,
2024-04-09 16:00:00,CLOSE_LONG,68621.5703125,85768.60267718455,Stop Loss,70765.8125,-2680.041499864133,-0.030300537953973184
2024-04-14 09:00:00,OPEN_SHORT,64099.0,85768.60267718455,MA120/360 Death Cross,,,
2024-04-15 06:00:00,CLOSE_SHORT,66528.765625,82517.4193125563,Stop Loss,64099.0,-3251.183364628247,-0.03790645134869499
2024-04-25 07:00:00,OPEN_LONG,63978.1171875,82517.4193125563,MA120/360 Golden Cross,,,
2024-04-28 20:00:00,CLOSE_LONG,63658.83984375,82105.62316085015,Signal Reversal,63978.1171875,-411.79615170615523,-0.004990414813463441
2024-04-28 20:00:00,OPEN_SHORT,63658.83984375,82105.62316085015,MA120/360 Death Cross,,,
2024-05-01 08:00:00,CLOSE_SHORT,57030.30078125,90654.95160774665,Take Profit,63658.83984375,8549.328446896496,0.10412597965608052
2024-05-07 20:00:00,OPEN_LONG,62971.66796875,90654.95160774665,MA120/360 Golden Cross,,,
2024-05-09 10:00:00,CLOSE_LONG,60860.14453125,87615.17100132888,Stop Loss,62971.66796875,-3039.7806064177707,-0.03353132457199409
2024-05-12 05:00:00,OPEN_SHORT,61046.72265625,87615.17100132888,MA120/360 Death Cross,,,
2024-05-13 09:00:00,CLOSE_SHORT,63038.6953125,84756.26199993883,Stop Loss,61046.72265625,-2858.909001390051,-0.03263029642830565
2024-05-31 23:00:00,OPEN_SHORT,67488.3203125,84756.26199993883,MA120/360 Death Cross,,,
2024-06-03 12:00:00,CLOSE_SHORT,69671.7421875,82014.17750832612,Stop Loss,67488.3203125,-2742.0844916127157,-0.03235258878706443
2024-06-05 12:00:00,OPEN_LONG,70963.765625,82014.17750832612,MA120/360 Golden Cross,,,
2024-06-11 01:00:00,CLOSE_LONG,68481.59375,79145.48412699987,Stop Loss,70963.765625,-2868.6933813262485,-0.0349780180510256
2024-06-12 10:00:00,OPEN_SHORT,68000.65625,79145.48412699987,MA120/360 Death Cross,,,
2024-06-24 10:00:00,CLOSE_SHORT,61192.5234375,87069.42188232449,Take Profit,68000.65625,7923.937755324614,0.10011863396538911
2024-08-02 04:00:00,OPEN_SHORT,64447.42578125,87069.42188232449,MA120/360 Death Cross,,,
2024-08-04 17:00:00,CLOSE_SHORT,57864.578125,95962.94606612294,Take Profit,64447.42578125,8893.524183798445,0.10214291069737622
2024-08-14 18:00:00,OPEN_LONG,59007.48828125,95962.94606612294,MA120/360 Golden Cross,,,
2024-08-15 19:00:00,CLOSE_LONG,57130.7421875,92910.82354031861,Stop Loss,59007.48828125,-3052.12252580433,-0.03180521910718826
2024-08-16 06:00:00,OPEN_SHORT,58539.26953125,92910.82354031861,MA120/360 Death Cross,,,
2024-08-16 21:00:00,CLOSE_SHORT,59020.9375,92146.34239786663,Signal Reversal,58539.26953125,-764.4811424519897,-0.008228117170011344
2024-08-16 21:00:00,OPEN_LONG,59020.9375,92146.34239786663,MA120/360 Golden Cross,,,
2024-08-31 01:00:00,CLOSE_LONG,59281.734375,92553.51109355269,Signal Reversal,59020.9375,407.1686956860627,0.004418717933784092
2024-08-31 01:00:00,OPEN_SHORT,59281.734375,92553.51109355269,MA120/360 Death Cross,,,
2024-09-06 20:00:00,CLOSE_SHORT,52827.2890625,102630.50330930545,Take Profit,59281.734375,10076.992215752762,0.10887747095371651
2024-10-03 09:00:00,OPEN_SHORT,60699.15625,102630.50330930545,MA120/360 Death Cross,,,
2024-10-06 14:00:00,CLOSE_SHORT,62744.74609375,99171.80753495578,Stop Loss,60699.15625,-3458.695774349681,-0.033700465873444496
2024-12-22 04:00:00,OPEN_SHORT,96305.828125,99171.80753495578,MA120/360 Death Cross,,,
2024-12-25 23:00:00,CLOSE_SHORT,99435.171875,95949.33718058732,Stop Loss,96305.828125,-3222.47035436846,-0.03249381487004372
2025-01-04 23:00:00,OPEN_LONG,98256.7578125,95949.33718058732,MA120/360 Golden Cross,,,
2025-01-08 06:00:00,CLOSE_LONG,95294.0703125,93056.22419551742,Stop Loss,98256.7578125,-2893.1129850698917,-0.03015250620882072
2025-01-11 19:00:00,OPEN_SHORT,94193.1171875,93056.22419551742,MA120/360 Death Cross,,,
2025-01-14 09:00:00,CLOSE_SHORT,97101.984375,90182.46648118088,Stop Loss,94193.1171875,-2873.757714336544,-0.030881950553877883
2025-01-17 08:00:00,OPEN_LONG,102112.8515625,90182.46648118088,MA120/360 Golden Cross,,,
2025-01-27 06:00:00,CLOSE_LONG,98859.171875,87308.931418076,Stop Loss,102112.8515625,-2873.5350631048814,-0.03186356700173559
2025-01-29 21:00:00,OPEN_SHORT,103826.3515625,87308.931418076,MA120/360 Death Cross,,,
2025-02-03 01:00:00,CLOSE_SHORT,93261.2265625,96193.28264651273,Take Profit,103826.3515625,8884.351228436724,0.10175764476940276
2025-02-23 21:00:00,OPEN_LONG,95768.4921875,96193.28264651273,MA120/360 Golden Cross,,,
2025-02-24 20:00:00,CLOSE_LONG,94042.59375,94459.72881867789,Signal Reversal,95768.4921875,-1733.553827834846,-0.018021568451980594
2025-02-24 20:00:00,OPEN_SHORT,94042.59375,94459.72881867789,MA120/360 Death Cross,,,
2025-02-26 18:00:00,CLOSE_SHORT,83982.5859375,104564.35877400098,Take Profit,94042.59375,10104.6299553231,0.10697288761774502
