Price,Close,High,Low,Open,Volume,MA120,MA360,RSI,Signal,Equity
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,,,
Datetime,,,,,,,,,,
2023-12-16 23:00:00+00:00,42240.8671875,42307.375,42179.25390625,42278.53515625,0,42152.32708333333,42269.33148871528,53.48597568315878,0,100000.0
2023-12-17 00:00:00+00:00,42132.94921875,42263.20703125,42132.94921875,42236.109375,0,42156.0271484375,42278.81231553819,44.53523000745632,0,100000.0
2023-12-17 01:00:00+00:00,41965.58984375,42201.55078125,41852.31640625,42121.3515625,52977664,42158.717936197914,42287.69088541667,33.403622622255526,0,100000.0
2023-12-17 02:00:00+00:00,41839.91796875,42092.3828125,41839.91796875,41968.59765625,75099136,42158.54583333333,42296.317762586805,22.312293343315233,0,100000.0
2023-12-17 03:00:00+00:00,41870.98828125,41964.68359375,41843.609375,41844.09375,0,42159.647688802084,42304.858897569444,25.191320614699592,0,100000.0
2023-12-17 04:00:00+00:00,41977.98828125,42005.421875,41878.51953125,41887.91015625,0,42164.16204427083,42313.66767578125,33.51375030773464,0,100000.0
2023-12-17 05:00:00+00:00,41841.3671875,41996.98828125,41774.58203125,41970.8359375,229815296,42166.61318359375,42322.18804253472,14.13444354981246,0,100000.0
2023-12-17 06:00:00+00:00,41974.5390625,41974.5390625,41782.75,41867.09375,158803968,42169.02936197917,42331.04971788194,24.537035416046635,0,100000.0
2023-12-17 07:00:00+00:00,41839.90625,41987.19140625,41837.4921875,41964.66015625,202920960,42168.32457682292,42339.690473090275,22.760533555052504,0,100000.0
2023-12-17 08:00:00+00:00,41840.62109375,41866.23046875,41650.83984375,41844.1640625,278511616,42166.828873697916,42348.33078342014,23.959761295822673,0,100000.0
2023-12-17 09:00:00+00:00,41941.7578125,41943.296875,41792.1015625,41846.19921875,0,42167.6232421875,42357.058669704864,32.72536059737661,0,100000.0
2023-12-17 10:00:00+00:00,41910.78515625,41972.3046875,41862.390625,41936.8984375,178281472,42168.598860677084,42365.80595703125,32.514439139197364,0,100000.0
2023-12-17 11:00:00+00:00,41926.03125,41930.3203125,41815.625,41908.5703125,54669312,42171.602734375,42374.5978515625,34.59463944900838,0,100000.0
2023-12-17 12:00:00+00:00,41921.1484375,41964.390625,41854.9765625,41923.60546875,0,42172.23131510417,42383.31618923611,34.30078700493043,0,100000.0
2023-12-17 13:00:00+00:00,41830.09765625,41926.84375,41779.23046875,41920.59375,0,42172.53486328125,42391.68046875,32.70370114511476,0,100000.0
