Price,Close,High,Low,Open,Volume,MA120,MA360,RSI,MA_Signal,Position,MA120_prev,MA360_prev,Filtered_Signal,Equity
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,,,,,,,
Date,,,,,,,,,,,,,,
2021-01-06,36824.36328125,36879.69921875,33514.03515625,34013.61328125,75289433811,16509.451090494793,11591.73777126736,93.72388404367645,0,0,16287.010701497396,11512.204801432292,0,100000.0
2021-01-07,39371.04296875,40180.3671875,36491.19140625,36833.875,84762141031,16752.19021809896,11678.479017469617,94.45628192677091,0,0,16509.451090494793,11591.73777126736,0,100000.0
2021-01-08,40797.609375,41946.73828125,36838.63671875,39381.765625,88107519480,17005.810807291666,11767.28414171007,94.60887374948032,0,0,16752.19021809896,11678.479017469617,0,100000.0
2021-01-09,40254.546875,41436.3515625,38980.875,40788.640625,61984162837,17254.591072591145,11854.638408745659,90.99339209626616,0,0,17005.810807291666,11767.28414171007,0,100000.0
2021-01-10,38356.44140625,41420.19140625,35984.62890625,40254.21875,79980747690,17487.209993489585,11936.951340060765,82.50750731028181,0,0,17254.591072591145,11854.638408745659,0,100000.0
2021-01-11,35566.65625,38346.53125,30549.599609375,38346.53125,123320567399,17697.567496744792,12010.944723849827,70.62307657677252,0,0,17487.209993489585,11936.951340060765,0,100000.0
2021-01-12,33922.9609375,36568.52734375,32697.9765625,35516.359375,74773277909,17891.25185546875,12080.3340359158,64.95784713105775,0,0,17697.567496744792,12010.944723849827,0,100000.0
2021-01-13,37316.359375,37599.9609375,32584.66796875,33915.12109375,69364315979,18112.246923828126,12159.806575520834,67.7719312615697,0,0,17891.25185546875,12080.3340359158,0,100000.0
2021-01-14,39187.328125,39966.40625,36868.5625,37325.109375,63615990033,18347.350447591147,12244.611257595487,69.92869962549554,0,0,18112.246923828126,12159.806575520834,0,100000.0
2021-01-15,36825.3671875,39577.7109375,34659.58984375,39156.70703125,67760757881,18562.98692220052,12322.609792751737,63.5257013789116,0,0,18347.350447591147,12244.611257595487,0,100000.0
2021-01-16,36178.140625,37864.3671875,35633.5546875,36821.6484375,57706187875,18773.266544596354,12398.99108344184,57.96200849051802,0,0,18562.98692220052,12322.609792751737,0,100000.0
2021-01-17,35791.27734375,36722.3515625,34069.3203125,36163.6484375,52359854336,18979.074300130207,12475.059865993924,55.97765149851569,0,0,18773.266544596354,12398.99108344184,0,100000.0
2021-01-18,36630.07421875,37299.28515625,34883.84375,35792.23828125,49511702429,19193.17265625,12553.350531684027,59.24254315590536,0,0,18979.074300130207,12475.059865993924,0,100000.0
2021-01-19,36069.8046875,37755.890625,36069.8046875,36642.234375,57244195486,19406.56886393229,12630.300412326389,54.37538997812174,0,0,19193.17265625,12553.350531684027,0,100000.0
2021-01-20,35547.75,36378.328125,33570.4765625,36050.11328125,66834573161,19614.979614257812,12705.164078776043,47.02135552098229,0,0,19406.56886393229,12630.300412326389,0,100000.0
2021-01-21,30825.69921875,35552.6796875,30250.75,35549.3984375,75643067688,19786.475553385415,12766.041522894966,31.899143282203866,0,0,19614.979614257812,12705.164078776043,0,100000.0
