date,action,price,reason,pnl,pnl_ratio
2022-03-04,OPEN_SHORT,39137.60546875,MA Death Cross,,
2022-03-09,CLOSE_SHORT,41982.92578125,Risk Management,-7270.041890457218,-0.07270041890457218
