date,action,price,capital,reason,entry_price,pnl,pnl_ratio
2024-01-27,CLOSE_SHORT,42120.0546875,126257.5669657039,Stop Loss,40077.07421875,-6781.8559063952525,-0.05097628777986479
2024-04-19,OPEN_SHORT,63843.5703125,126257.5669657039,MA20/50 Death Cross,,,
2024-05-17,CLOSE_SHORT,67051.875,119912.7973679876,Stop Loss,63843.5703125,-6344.7695977163,-0.05025258881663519
2024-05-25,OPEN_LONG,69265.9453125,119912.7973679876,MA20/50 Golden Cross,,,
2024-06-18,CLOSE_LONG,65140.74609375,112771.27672911053,Stop Loss,69265.9453125,-7141.520638877075,-0.05955595062102691
2024-06-25,OPEN_SHORT,61804.640625,112771.27672911053,MA20/50 Death Cross,,,
2024-07-16,CLOSE_SHORT,65097.1484375,106763.63222375594,Stop Loss,61804.640625,-6007.644505354583,-0.05327282513423724
2024-07-28,OPEN_LONG,68255.8671875,106763.63222375594,MA20/50 Golden Cross,,,
2024-07-31,CLOSE_LONG,64619.25,101075.35257919018,Stop Loss,68255.8671875,-5688.279644565752,-0.05327918811008806
2024-08-14,OPEN_SHORT,58737.26953125,101075.35257919018,MA20/50 Death Cross,,,
2024-08-23,CLOSE_SHORT,64094.35546875,91856.85546056337,Stop Loss,58737.26953125,-9218.497118626803,-0.09120420442168951
2024-09-25,OPEN_LONG,63143.14453125,91856.85546056337,MA20/50 Golden Cross,,,
2024-10-29,CLOSE_LONG,72720.4921875,105789.40579340796,Take Profit,63143.14453125,13932.550332844596,0.15167676122797624
2025-01-05,OPEN_SHORT,98314.9609375,105789.40579340796,MA20/50 Death Cross,,,
2025-01-17,CLOSE_SHORT,104462.0390625,99174.99293082434,Stop Loss,98314.9609375,-6614.412862583621,-0.06252434081632571
2025-01-21,OPEN_LONG,106146.265625,99174.99293082434,MA20/50 Golden Cross,,,
2025-02-01,CLOSE_LONG,100655.90625,94045.21894398457,Stop Loss,106146.265625,-5129.773986839777,-0.05172447040573878
2025-02-16,OPEN_SHORT,96175.03125,94045.21894398457,MA20/50 Death Cross,,,
2025-03-09,CLOSE_SHORT,80601.0390625,109274.3224448513,Take Profit,96175.03125,15229.103500866737,0.16193384067655295
2025-06-29,OPEN_SHORT,108385.5703125,109274.3224448513,MA20/50 Death Cross,,,
2025-07-08,CLOSE_SHORT,108950.2734375,108704.9888039529,Signal Reversal,108385.5703125,-569.3336408984002,-0.005210131970259821
2025-07-08,OPEN_LONG,108950.2734375,108704.9888039529,MA20/50 Golden Cross,,,
2025-07-13,CLOSE_LONG,119116.1171875,118847.94573430352,Final Close,108950.2734375,10142.95693035061,0.09330718895195522
