Price,Close,High,Low,Open,Volume,MA20,MA50,RSI,Signal,Equity
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,,,
Date,,,,,,,,,,
2020-02-19,9633.38671875,10191.67578125,9611.2236328125,10143.798828125,46992019710,9794.49990234375,8932.1370703125,50.3204706130235,0,100000.0
2020-02-20,9608.4755859375,9643.216796875,9507.900390625,9629.3251953125,44925260237,9807.397216796875,8980.303095703124,47.99338439324097,0,100000.0
2020-02-21,9686.44140625,9723.0146484375,9589.7431640625,9611.7822265625,40930547513,9822.075537109375,9034.32251953125,48.196001181536374,0,100000.0
2020-02-22,9663.181640625,9698.2314453125,9600.728515625,9687.70703125,35838025154,9838.016357421875,9080.688466796875,46.62205959226346,0,100000.0
2020-02-23,9924.515625,9937.404296875,9657.791015625,9663.318359375,41185185761,9869.566064453125,9130.96564453125,46.796126369099525,0,100000.0
2020-02-24,9650.1748046875,9951.74609375,9537.04296875,9921.5830078125,45080496648,9893.02666015625,9175.74279296875,46.57437281939175,0,100000.0
2020-02-25,9341.705078125,9652.7373046875,9305.021484375,9651.3125,42515259129,9879.44072265625,9207.192509765626,35.41175913540644,0,100000.0
2020-02-26,8820.5224609375,9354.7783203125,8704.4267578125,9338.2900390625,50420050762,9833.9767578125,9220.329111328125,27.684771019448576,0,100000.0
2020-02-27,8784.494140625,8932.892578125,8577.19921875,8825.09375,45470195695,9783.404296875,9234.42173828125,28.31983989703943,0,100000.0
2020-02-28,8672.455078125,8890.4560546875,8492.9326171875,8788.728515625,44605450443,9723.77109375,9250.2894140625,25.246552161848257,0,100000.0
2020-02-29,8599.5087890625,8775.6318359375,8599.5087890625,8671.212890625,35792392544,9647.912841796875,9258.948505859375,28.22735643354804,0,100000.0
2020-03-01,8562.4541015625,8726.796875,8471.212890625,8599.7587890625,35349164300,9583.20498046875,9269.4468359375,26.779847473992533,0,100000.0
2020-03-02,8869.669921875,8921.30859375,8532.630859375,8563.2646484375,42857674409,9516.27666015625,9282.9903515625,36.40345880275399,0,100000.0
2020-03-03,8787.7861328125,8901.5986328125,8704.990234375,8865.3876953125,42386715821,9439.363232421874,9295.8621875,24.42224087207532,0,100000.0
2020-03-04,8755.24609375,8843.3662109375,8712.431640625,8788.5419921875,34746706368,9366.40654296875,9294.41181640625,29.77726602137382,0,100000.0
